ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals,order_book
601009.SS,10.11,HOLD,-20,34.1,-0.123,10.87,10.96,10.2,-2.88,-7.5,-8.73,0.53,4.879909,0.06,0.057,"['RSI=34.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=10.2%(買いシグナル)']",{}
9896.HK,23.58,SELL,-40,42.0,-0.025,24.44,26.62,36.7,7.08,-11.42,-23.11,1.43,7.0935407,2.0,0.285,"['RSI=42.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -11.4%(強い下落)']",{}
600926.SS,14.72,HOLD,-20,33.1,-0.124,15.61,16.08,11.1,-2.06,-6.55,-11.1,0.68,4.608194,0.06,0.089,"['RSI=33.1 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=11.1%(買いシグナル)']",{}
3360.HK,5.35,HOLD,-20,27.3,-0.111,6.28,6.83,20.1,3.68,-23.79,-20.65,1.11,5.1336083,-0.067,-0.084,"['RSI=27.3 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -23.8%(強い下落)']",{}
2228.HK,7.65,HOLD,5,53.7,0.148,7.11,8.12,80.6,9.13,-4.73,-15.09,0.95,90.0,,0.743,"['RSI=53.7 中立', 'MACD ゴールデンクロス(買いシグナル)', 'BB上限付近 bb_pct=80.6%(売りシグナル)']",{}
2357.HK,2.89,SELL,-30,34.8,-0.005,3.02,3.23,22.9,0.7,-9.97,-10.88,0.69,6.4222226,-0.214,-0.026,"['RSI=34.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
688111.SS,222.88,HOLD,5,48.7,1.016,219.82,239.31,57.0,4.59,-11.04,-4.17,0.81,39.22604,4.425,0.24,"['RSI=48.7 中立', 'MACD ゴールデンクロス(買いシグナル)', '1ヶ月モメンタム -11.0%(強い下落)']",{}
603501.SS,98.15,HOLD,5,57.7,1.041,91.25,96.29,90.5,9.41,-2.64,7.55,0.89,22.66262,-0.431,-0.009,"['RSI=57.7 中立', 'MACD ゴールデンクロス(買いシグナル)', 'BB上限付近 bb_pct=90.5%(売りシグナル)']",{}
600115.SS,3.94,HOLD,15,46.9,0.014,3.93,4.19,52.0,-5.06,-1.75,-9.84,0.61,21.178242,,0.109,"['RSI=46.9 中立', 'MACD ゴールデンクロス(買いシグナル)']",{}
601169.SS,4.94,HOLD,-20,37.8,-0.017,5.09,5.19,14.5,-1.0,-3.7,-10.18,0.38,5.344585,0.056,0.012,"['RSI=37.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=14.5%(買いシグナル)']",{}
1066.HK,3.17,SELL,-30,41.0,-0.002,3.28,3.38,25.5,0.63,-7.04,-13.77,1.05,5.8468485,-0.381,0.045,"['RSI=41.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
600438.SS,12.17,HOLD,10,28.5,0.004,13.03,15.21,20.6,-0.65,-12.95,-24.92,0.47,20.37775,,-0.239,"['RSI=28.5 売られすぎ(買いシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -12.9%(強い下落)']",{}
601766.SS,5.33,SELL,-30,37.8,-0.027,5.54,5.76,23.0,0.38,-6.0,-14.99,0.5,9.4790945,0.091,0.106,"['RSI=37.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
600958.SS,9.76,HOLD,5,57.8,0.039,9.31,9.42,83.5,0.0,6.55,8.2,0.74,11.715842,0.188,0.037,"['RSI=57.8 中立', 'MACD ゴールデンクロス(買いシグナル)', 'BB上限付近 bb_pct=83.5%(売りシグナル)']",{}
601689.SS,57.28,SELL,-30,42.6,-0.579,60.78,62.9,30.8,1.72,-8.54,-1.69,0.62,27.531845,-0.03,0.149,"['RSI=42.6 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']",{}
601727.SS,7.02,SELL,-40,36.8,-0.004,7.32,7.97,25.1,-0.43,-11.59,-11.48,0.41,43.875,0.303,0.093,"['RSI=36.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -11.6%(強い下落)']",{}
1908.HK,13.5,SELL,-40,42.3,-0.152,14.33,14.68,32.6,3.93,-15.2,13.53,0.68,6.7677217,-0.393,-0.069,"['RSI=42.3 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -15.2%(強い下落)']",{}
601066.SS,30.63,BUY,30,69.8,0.342,26.75,24.31,96.6,3.62,19.88,42.73,0.99,18.313354,1.2,0.614,"['RSI=69.8 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=96.6%(売りシグナル)', '1ヶ月モメンタム +19.9%(強い上昇)']",{}
900948.SS,2.6,HOLD,-15,51.2,-0.013,2.63,2.48,40.9,-1.48,-5.12,30.7,0.34,1.8153846,0.045,0.032,"['RSI=51.2 中立', 'MACD デッドクロス(売りシグナル)']",{}
688271.SS,102.87,SELL,-40,40.0,-0.631,107.79,112.27,27.3,1.35,-10.02,-10.32,0.48,28.032719,0.067,0.173,"['RSI=40.0 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -10.0%(強い下落)']",{}
1258.HK,11.25,SELL,-30,37.9,-0.297,13.21,13.32,9.6,-9.99,-24.0,0.67,0.76,8.401335,-0.214,-0.076,"['RSI=37.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=9.6%(買いシグナル)', '1ヶ月モメンタム -24.0%(強い下落)']",{}
601127.SS,61.55,HOLD,-20,28.0,-0.052,67.22,78.12,23.9,-1.83,-22.19,-30.22,0.48,6.060546,-0.14,0.345,"['RSI=28.0 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -22.2%(強い下落)']",{}
600160.SS,53.69,HOLD,10,72.7,0.738,45.36,39.0,87.0,5.69,39.73,61.31,0.5,22.701902,0.456,0.037,"['RSI=72.7 買われすぎ(売りシグナル)', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=87.0%(売りシグナル)', '1ヶ月モメンタム +39.7%(強い上昇)']",{}
