ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals
2388.HK,40.28,HOLD,-5,39.4,-0.218,42.02,41.49,11.0,-2.75,-7.06,3.34,0.47,10.5234,0.105,0.104,"['RSI=39.4 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=11.0%(買いシグナル)']"
1088.HK,48.52,BUY,30,65.4,0.109,46.36,43.87,80.4,2.84,10.52,23.02,0.76,15.54342,-0.118,-0.131,"['RSI=65.4 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=80.4%(売りシグナル)', '1ヶ月モメンタム +10.5%(強い上昇)']"
0016.HK,126.0,HOLD,-5,41.6,-1.888,136.56,126.45,-6.6,-5.55,-8.91,32.8,0.41,14.4405985,0.362,0.32,"['RSI=41.6 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=-6.6%(買いシグナル)']"
1288.HK,5.21,HOLD,0,43.6,0.019,5.25,5.4,37.9,-2.07,-4.58,-5.44,0.32,5.607378,0.158,0.056,"['RSI=43.6 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)']"
6160.HK,162.0,HOLD,-10,29.3,-1.229,181.43,196.05,14.5,-6.57,-25.69,-13.18,0.39,26.205164,,0.328,"['RSI=29.3 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=14.5%(買いシグナル)', '1ヶ月モメンタム -25.7%(強い下落)']"
028260.KS,276500.0,HOLD,-25,43.2,-1355.683,300150.0,299260.0,29.3,-1.07,-16.72,12.35,0.48,16.140993,0.68,0.084,"['RSI=43.2 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -16.7%(強い下落)']"
1024.HK,52.0,HOLD,-10,21.2,-0.446,60.16,69.26,-9.3,-13.12,-21.98,-22.04,0.47,8.351477,0.36,0.142,"['RSI=21.2 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-9.3%(買いシグナル)', '1ヶ月モメンタム -22.0%(強い下落)']"
0001.HK,58.05,HOLD,-20,40.4,-0.177,60.76,61.81,14.0,-1.78,-7.19,6.51,0.53,8.809617,0.597,-0.028,"['RSI=40.4 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=14.0%(買いシグナル)']"
0669.HK,103.6,HOLD,-15,30.7,-2.166,117.01,111.37,1.1,-6.58,-16.05,14.03,0.23,14.721692,0.001,0.016,"['RSI=30.7 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=1.1%(買いシグナル)', '1ヶ月モメンタム -16.0%(強い下落)']"
012330.KS,379000.0,SELL,-30,39.9,-4696.108,429004.36,432848.25,15.9,-7.04,-13.93,4.63,0.47,7.035993,-0.394,0.047,"['RSI=39.9 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=15.9%(買いシグナル)', '1ヶ月モメンタム -13.9%(強い下落)']"
9987.HK,404.2,HOLD,-5,43.4,-1.589,419.05,407.36,11.4,-5.34,-6.97,7.63,0.34,16.155088,0.343,0.088,"['RSI=43.4 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=11.4%(買いシグナル)']"
009150.KS,432000.0,BUY,30,57.0,465.561,425975.0,346330.0,54.7,-3.25,1.29,72.31,0.43,21.831924,0.157,0.164,"['RSI=57.0 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)']"
006400.KS,381000.0,HOLD,-15,47.4,-3669.472,403225.0,371470.0,27.2,-2.06,-2.68,36.31,0.35,26.867388,,0.028,"['RSI=47.4 中立', 'MACD デッドクロス(売りシグナル)']"
